가게이름,판매량,재고,가격,날짜,요일,카테고리,날씨,공휴일,계절
원조순희네빈대떡,137,26,5000,2023-03-17,Friday,전류,더움,0,봄
원조순희네빈대떡,120,24,5000,2023-03-18,Saturday,전류,비,1,봄
원조순희네빈대떡,47,4,5000,2023-03-19,Sunday,전류,흐림,1,봄
원조순희네빈대떡,17,2,5000,2023-03-20,Monday,전류,더움,0,봄
원조순희네빈대떡,105,19,5000,2023-03-21,Tuesday,전류,흐림,0,봄
원조순희네빈대떡,113,18,5000,2023-03-22,Wednesday,전류,흐림,0,봄
원조순희네빈대떡,365,23,5000,2023-03-23,Thursday,전류,눈,0,봄
원조순희네빈대떡,250,24,5000,2023-03-24,Friday,전류,더움,0,봄
원조순희네빈대떡,47,4,5000,2023-03-25,Saturday,전류,더움,1,봄
원조순희네빈대떡,70,5,5000,2023-03-26,Sunday,전류,더움,1,봄
원조순희네빈대떡,149,22,5000,2023-03-27,Monday,전류,흐림,0,봄
원조순희네빈대떡,123,15,5000,2023-03-28,Tuesday,전류,더움,0,봄
원조순희네빈대떡,105,15,5000,2023-03-29,Wednesday,전류,더움,0,봄
원조순희네빈대떡,132,24,5000,2023-03-30,Thursday,전류,맑음,0,봄
원조순희네빈대떡,40,7,5000,2023-03-31,Friday,전류,더움,0,봄
원조순희네빈대떡,154,18,5000,2023-04-01,Saturday,전류,맑음,1,봄
원조순희네빈대떡,61,10,5000,2023-04-02,Sunday,전류,흐림,1,봄
원조순희네빈대떡,108,18,5000,2023-04-03,Monday,전류,흐림,0,봄
원조순희네빈대떡,153,29,5000,2023-04-04,Tuesday,전류,흐림,0,봄
원조순희네빈대떡,203,26,5000,2023-04-05,Wednesday,전류,맑음,0,봄
원조순희네빈대떡,224,26,5000,2023-04-06,Thursday,전류,흐림,0,봄
원조순희네빈대떡,134,11,5000,2023-04-07,Friday,전류,흐림,0,봄
원조순희네빈대떡,116,17,5000,2023-04-08,Saturday,전류,비,1,봄
원조순희네빈대떡,14,2,5000,2023-04-09,Sunday,전류,눈,1,봄
원조순희네빈대떡,113,17,5000,2023-04-10,Monday,전류,흐림,0,봄
원조순희네빈대떡,191,21,5000,2023-04-11,Tuesday,전류,눈,0,봄
원조순희네빈대떡,153,26,5000,2023-04-12,Wednesday,전류,눈,0,봄
원조순희네빈대떡,120,18,5000,2023-04-13,Thursday,전류,비,0,봄
원조순희네빈대떡,52,8,5000,2023-04-14,Friday,전류,흐림,0,봄
원조순희네빈대떡,78,11,5000,2023-04-15,Saturday,전류,눈,1,봄
원조순희네빈대떡,131,26,5000,2023-04-16,Sunday,전류,흐림,1,봄
원조순희네빈대떡,124,13,5000,2023-04-17,Monday,전류,더움,0,봄
원조순희네빈대떡,137,22,5000,2023-04-18,Tuesday,전류,맑음,0,봄
원조순희네빈대떡,121,14,5000,2023-04-19,Wednesday,전류,흐림,0,봄
원조순희네빈대떡,27,5,5000,2023-04-20,Thursday,전류,눈,0,봄
원조순희네빈대떡,51,9,5000,2023-04-21,Friday,전류,맑음,0,봄
원조순희네빈대떡,278,28,5000,2023-04-22,Saturday,전류,더움,1,봄
원조순희네빈대떡,70,14,5000,2023-04-23,Sunday,전류,더움,1,봄
원조순희네빈대떡,73,9,5000,2023-04-24,Monday,전류,맑음,0,봄
원조순희네빈대떡,93,12,5000,2023-04-25,Tuesday,전류,더움,0,봄
원조순희네빈대떡,60,11,5000,2023-04-26,Wednesday,전류,흐림,0,봄
원조순희네빈대떡,83,10,5000,2023-04-27,Thursday,전류,더움,0,봄
원조순희네빈대떡,31,5,5000,2023-04-28,Friday,전류,흐림,0,봄
원조순희네빈대떡,53,7,5000,2023-04-29,Saturday,전류,흐림,1,봄
원조순희네빈대떡,142,19,5000,2023-04-30,Sunday,전류,흐림,1,봄
원조순희네빈대떡,87,16,5000,2023-05-01,Monday,전류,눈,0,봄
원조순희네빈대떡,104,13,5000,2023-05-02,Tuesday,전류,비,0,봄
원조순희네빈대떡,110,17,5000,2023-05-03,Wednesday,전류,맑음,0,봄
원조순희네빈대떡,31,4,5000,2023-05-04,Thursday,전류,더움,0,봄
원조순희네빈대떡,149,26,5000,2023-05-05,Friday,전류,눈,0,봄
원조순희네빈대떡,43,6,5000,2023-05-06,Saturday,전류,눈,1,봄
원조순희네빈대떡,43,7,5000,2023-05-07,Sunday,전류,흐림,1,봄
원조순희네빈대떡,48,9,5000,2023-05-08,Monday,전류,맑음,0,봄
원조순희네빈대떡,49,6,5000,2023-05-09,Tuesday,전류,더움,0,봄
원조순희네빈대떡,16,1,5000,2023-05-10,Wednesday,전류,더움,0,봄
원조순희네빈대떡,156,20,5000,2023-05-11,Thursday,전류,맑음,0,봄
원조순희네빈대떡,173,21,5000,2023-05-12,Friday,전류,맑음,0,봄
원조순희네빈대떡,232,29,5000,2023-05-13,Saturday,전류,맑음,1,봄
원조순희네빈대떡,80,14,5000,2023-05-14,Sunday,전류,맑음,1,봄
원조순희네빈대떡,115,23,5000,2023-05-15,Monday,전류,맑음,0,봄
원조순희네빈대떡,185,26,5000,2023-05-16,Tuesday,전류,비,0,봄
원조순희네빈대떡,72,11,5000,2023-05-17,Wednesday,전류,흐림,0,봄
원조순희네빈대떡,16,2,5000,2023-05-18,Thursday,전류,눈,0,봄
원조순희네빈대떡,147,25,5000,2023-05-19,Friday,전류,흐림,0,봄
원조순희네빈대떡,362,29,5000,2023-05-20,Saturday,전류,비,1,봄
원조순희네빈대떡,12,1,5000,2023-05-21,Sunday,전류,눈,1,봄
원조순희네빈대떡,180,29,5000,2023-05-22,Monday,전류,비,0,봄
원조순희네빈대떡,193,28,5000,2023-05-23,Tuesday,전류,더움,0,봄
원조순희네빈대떡,79,13,5000,2023-05-24,Wednesday,전류,비,0,봄
원조순희네빈대떡,181,17,5000,2023-05-25,Thursday,전류,흐림,0,봄
원조순희네빈대떡,330,30,5000,2023-05-26,Friday,전류,흐림,0,봄
원조순희네빈대떡,139,27,5000,2023-05-27,Saturday,전류,맑음,1,봄
원조순희네빈대떡,238,26,5000,2023-05-28,Sunday,전류,더움,1,봄
원조순희네빈대떡,15,2,5000,2023-05-29,Monday,전류,비,0,봄
원조순희네빈대떡,173,30,5000,2023-05-30,Tuesday,전류,눈,0,봄
원조순희네빈대떡,127,20,5000,2023-05-31,Wednesday,전류,비,0,봄
원조순희네빈대떡,45,8,5000,2023-06-01,Thursday,전류,비,0,여름
원조순희네빈대떡,32,3,5000,2023-06-02,Friday,전류,눈,0,여름
원조순희네빈대떡,91,16,5000,2023-06-03,Saturday,전류,맑음,1,여름
원조순희네빈대떡,171,12,5000,2023-06-04,Sunday,전류,더움,1,여름
원조순희네빈대떡,33,4,5000,2023-06-05,Monday,전류,맑음,0,여름
원조순희네빈대떡,56,10,5000,2023-06-06,Tuesday,전류,맑음,0,여름
원조순희네빈대떡,272,21,5000,2023-06-07,Wednesday,전류,흐림,0,여름
원조순희네빈대떡,175,23,5000,2023-06-08,Thursday,전류,눈,0,여름
원조순희네빈대떡,166,13,5000,2023-06-09,Friday,전류,흐림,0,여름
원조순희네빈대떡,121,13,5000,2023-06-10,Saturday,전류,눈,1,여름
원조순희네빈대떡,196,20,5000,2023-06-11,Sunday,전류,비,1,여름
원조순희네빈대떡,45,3,5000,2023-06-12,Monday,전류,눈,0,여름
원조순희네빈대떡,175,20,5000,2023-06-13,Tuesday,전류,눈,0,여름
원조순희네빈대떡,35,6,5000,2023-06-14,Wednesday,전류,흐림,0,여름
원조순희네빈대떡,348,18,5000,2023-06-15,Thursday,전류,눈,0,여름
원조순희네빈대떡,88,14,5000,2023-06-16,Friday,전류,비,0,여름
원조순희네빈대떡,245,25,5000,2023-06-17,Saturday,전류,흐림,1,여름
원조순희네빈대떡,69,11,5000,2023-06-18,Sunday,전류,비,1,여름
원조순희네빈대떡,245,27,5000,2023-06-19,Monday,전류,맑음,0,여름
원조순희네빈대떡,69,12,5000,2023-06-20,Tuesday,전류,눈,0,여름
원조순희네빈대떡,120,12,5000,2023-06-21,Wednesday,전류,비,0,여름
원조순희네빈대떡,278,17,5000,2023-06-22,Thursday,전류,눈,0,여름
원조순희네빈대떡,112,15,5000,2023-06-23,Friday,전류,맑음,0,여름
원조순희네빈대떡,423,23,5000,2023-06-24,Saturday,전류,흐림,1,여름
원조순희네빈대떡,118,13,5000,2023-06-25,Sunday,전류,비,1,여름
원조순희네빈대떡,111,11,5000,2023-06-26,Monday,전류,맑음,0,여름
원조순희네빈대떡,184,22,5000,2023-06-27,Tuesday,전류,맑음,0,여름
원조순희네빈대떡,114,18,5000,2023-06-28,Wednesday,전류,흐림,0,여름
원조순희네빈대떡,145,29,5000,2023-06-29,Thursday,전류,비,0,여름
원조순희네빈대떡,133,25,5000,2023-06-30,Friday,전류,비,0,여름
원조순희네빈대떡,150,21,5000,2023-07-01,Saturday,전류,더움,1,여름
원조순희네빈대떡,531,28,5000,2023-07-02,Sunday,전류,눈,1,여름
원조순희네빈대떡,65,13,5000,2023-07-03,Monday,전류,비,0,여름
원조순희네빈대떡,83,5,5000,2023-07-04,Tuesday,전류,맑음,0,여름
원조순희네빈대떡,240,20,5000,2023-07-05,Wednesday,전류,더움,0,여름
원조순희네빈대떡,68,7,5000,2023-07-06,Thursday,전류,비,0,여름
원조순희네빈대떡,343,25,5000,2023-07-07,Friday,전류,더움,0,여름
원조순희네빈대떡,160,26,5000,2023-07-08,Saturday,전류,눈,1,여름
원조순희네빈대떡,189,30,5000,2023-07-09,Sunday,전류,맑음,1,여름
원조순희네빈대떡,40,6,5000,2023-07-10,Monday,전류,눈,0,여름
원조순희네빈대떡,202,22,5000,2023-07-11,Tuesday,전류,비,0,여름
원조순희네빈대떡,529,30,5000,2023-07-12,Wednesday,전류,비,0,여름
원조순희네빈대떡,87,11,5000,2023-07-13,Thursday,전류,흐림,0,여름
원조순희네빈대떡,234,18,5000,2023-07-14,Friday,전류,흐림,0,여름
원조순희네빈대떡,47,5,5000,2023-07-15,Saturday,전류,비,1,여름
원조순희네빈대떡,20,2,5000,2023-07-16,Sunday,전류,눈,1,여름
원조순희네빈대떡,236,26,5000,2023-07-17,Monday,전류,비,0,여름
원조순희네빈대떡,248,29,5000,2023-07-18,Tuesday,전류,비,0,여름
원조순희네빈대떡,368,22,5000,2023-07-19,Wednesday,전류,비,0,여름
원조순희네빈대떡,62,12,5000,2023-07-20,Thursday,전류,흐림,0,여름
원조순희네빈대떡,250,15,5000,2023-07-21,Friday,전류,더움,0,여름
원조순희네빈대떡,211,28,5000,2023-07-22,Saturday,전류,눈,1,여름
원조순희네빈대떡,173,27,5000,2023-07-23,Sunday,전류,비,1,여름
원조순희네빈대떡,199,28,5000,2023-07-24,Monday,전류,맑음,0,여름
원조순희네빈대떡,63,8,5000,2023-07-25,Tuesday,전류,흐림,0,여름
원조순희네빈대떡,31,5,5000,2023-07-26,Wednesday,전류,비,0,여름
원조순희네빈대떡,19,3,5000,2023-07-27,Thursday,전류,비,0,여름
원조순희네빈대떡,117,20,5000,2023-07-28,Friday,전류,더움,0,여름
원조순희네빈대떡,59,7,5000,2023-07-29,Saturday,전류,맑음,1,여름
원조순희네빈대떡,70,12,5000,2023-07-30,Sunday,전류,비,1,여름
원조순희네빈대떡,133,12,5000,2023-07-31,Monday,전류,비,0,여름
원조순희네빈대떡,228,23,5000,2023-08-01,Tuesday,전류,더움,0,여름
원조순희네빈대떡,144,27,5000,2023-08-02,Wednesday,전류,맑음,0,여름
원조순희네빈대떡,233,17,5000,2023-08-03,Thursday,전류,눈,0,여름
원조순희네빈대떡,232,12,5000,2023-08-04,Friday,전류,맑음,0,여름
원조순희네빈대떡,20,4,5000,2023-08-05,Saturday,전류,흐림,1,여름
원조순희네빈대떡,146,12,5000,2023-08-06,Sunday,전류,눈,1,여름
원조순희네빈대떡,39,7,5000,2023-08-07,Monday,전류,흐림,0,여름
원조순희네빈대떡,177,20,5000,2023-08-08,Tuesday,전류,눈,0,여름
원조순희네빈대떡,341,27,5000,2023-08-09,Wednesday,전류,눈,0,여름
원조순희네빈대떡,98,12,5000,2023-08-10,Thursday,전류,더움,0,여름
원조순희네빈대떡,422,30,5000,2023-08-11,Friday,전류,비,0,여름
원조순희네빈대떡,14,1,5000,2023-08-12,Saturday,전류,더움,1,여름
원조순희네빈대떡,144,16,5000,2023-08-13,Sunday,전류,흐림,1,여름
원조순희네빈대떡,5,1,5000,2023-08-14,Monday,전류,흐림,0,여름
원조순희네빈대떡,175,24,5000,2023-08-15,Tuesday,전류,맑음,0,여름
원조순희네빈대떡,92,13,5000,2023-08-16,Wednesday,전류,눈,0,여름
원조순희네빈대떡,228,14,5000,2023-08-17,Thursday,전류,비,0,여름
원조순희네빈대떡,65,10,5000,2023-08-18,Friday,전류,비,0,여름
원조순희네빈대떡,130,18,5000,2023-08-19,Saturday,전류,비,1,여름
원조순희네빈대떡,92,11,5000,2023-08-20,Sunday,전류,비,1,여름
원조순희네빈대떡,62,10,5000,2023-08-21,Monday,전류,더움,0,여름
원조순희네빈대떡,27,2,5000,2023-08-22,Tuesday,전류,비,0,여름
원조순희네빈대떡,362,24,5000,2023-08-23,Wednesday,전류,맑음,0,여름
원조순희네빈대떡,77,6,5000,2023-08-24,Thursday,전류,맑음,0,여름
원조순희네빈대떡,251,24,5000,2023-08-25,Friday,전류,비,0,여름
원조순희네빈대떡,10,2,5000,2023-08-26,Saturday,전류,맑음,1,여름
원조순희네빈대떡,213,25,5000,2023-08-27,Sunday,전류,더움,1,여름
원조순희네빈대떡,257,20,5000,2023-08-28,Monday,전류,흐림,0,여름
원조순희네빈대떡,120,15,5000,2023-08-29,Tuesday,전류,눈,0,여름
원조순희네빈대떡,537,30,5000,2023-08-30,Wednesday,전류,비,0,여름
원조순희네빈대떡,448,29,5000,2023-08-31,Thursday,전류,흐림,0,여름
원조순희네빈대떡,25,3,5000,2023-09-01,Friday,전류,흐림,0,가을
원조순희네빈대떡,19,3,5000,2023-09-02,Saturday,전류,더움,1,가을
원조순희네빈대떡,226,22,5000,2023-09-03,Sunday,전류,흐림,1,가을
원조순희네빈대떡,121,18,5000,2023-09-04,Monday,전류,맑음,0,가을
원조순희네빈대떡,381,20,5000,2023-09-05,Tuesday,전류,흐림,0,가을
원조순희네빈대떡,33,4,5000,2023-09-06,Wednesday,전류,눈,0,가을
원조순희네빈대떡,79,10,5000,2023-09-07,Thursday,전류,흐림,0,가을
원조순희네빈대떡,505,26,5000,2023-09-08,Friday,전류,흐림,0,가을
원조순희네빈대떡,99,17,5000,2023-09-09,Saturday,전류,비,1,가을
원조순희네빈대떡,22,2,5000,2023-09-10,Sunday,전류,흐림,1,가을
원조순희네빈대떡,242,25,5000,2023-09-11,Monday,전류,눈,0,가을
원조순희네빈대떡,55,6,5000,2023-09-12,Tuesday,전류,흐림,0,가을
원조순희네빈대떡,94,10,5000,2023-09-13,Wednesday,전류,맑음,0,가을
원조순희네빈대떡,169,23,5000,2023-09-14,Thursday,전류,눈,0,가을
원조순희네빈대떡,101,16,5000,2023-09-15,Friday,전류,더움,0,가을
원조순희네빈대떡,15,3,5000,2023-09-16,Saturday,전류,비,1,가을
원조순희네빈대떡,176,30,5000,2023-09-17,Sunday,전류,더움,1,가을
원조순희네빈대떡,53,9,5000,2023-09-18,Monday,전류,비,0,가을
원조순희네빈대떡,163,18,5000,2023-09-19,Tuesday,전류,흐림,0,가을
원조순희네빈대떡,79,12,5000,2023-09-20,Wednesday,전류,비,0,가을
원조순희네빈대떡,190,20,5000,2023-09-21,Thursday,전류,더움,0,가을
원조순희네빈대떡,280,25,5000,2023-09-22,Friday,전류,더움,0,가을
원조순희네빈대떡,118,13,5000,2023-09-23,Saturday,전류,맑음,1,가을
원조순희네빈대떡,139,8,5000,2023-09-24,Sunday,전류,더움,1,가을
원조순희네빈대떡,294,27,5000,2023-09-25,Monday,전류,더움,0,가을
원조순희네빈대떡,110,18,5000,2023-09-26,Tuesday,전류,눈,0,가을
원조순희네빈대떡,37,4,5000,2023-09-27,Wednesday,전류,흐림,0,가을
원조순희네빈대떡,163,21,5000,2023-09-28,Thursday,전류,눈,0,가을
원조순희네빈대떡,517,27,5000,2023-09-29,Friday,전류,더움,0,가을
원조순희네빈대떡,210,22,5000,2023-09-30,Saturday,전류,더움,1,가을
원조순희네빈대떡,247,22,5000,2023-10-01,Sunday,전류,더움,1,가을
원조순희네빈대떡,236,23,5000,2023-10-02,Monday,전류,맑음,0,가을
원조순희네빈대떡,27,4,5000,2023-10-03,Tuesday,전류,더움,0,가을
원조순희네빈대떡,85,13,5000,2023-10-04,Wednesday,전류,눈,0,가을
원조순희네빈대떡,151,26,5000,2023-10-05,Thursday,전류,맑음,0,가을
원조순희네빈대떡,104,13,5000,2023-10-06,Friday,전류,더움,0,가을
원조순희네빈대떡,93,16,5000,2023-10-07,Saturday,전류,더움,1,가을
원조순희네빈대떡,338,30,5000,2023-10-08,Sunday,전류,맑음,1,가을
원조순희네빈대떡,141,14,5000,2023-10-09,Monday,전류,맑음,0,가을
원조순희네빈대떡,227,18,5000,2023-10-10,Tuesday,전류,맑음,0,가을
원조순희네빈대떡,38,4,5000,2023-10-11,Wednesday,전류,맑음,0,가을
원조순희네빈대떡,256,23,5000,2023-10-12,Thursday,전류,흐림,0,가을
원조순희네빈대떡,40,7,5000,2023-10-13,Friday,전류,맑음,0,가을
원조순희네빈대떡,90,16,5000,2023-10-14,Saturday,전류,비,1,가을
원조순희네빈대떡,129,11,5000,2023-10-15,Sunday,전류,더움,1,가을
원조순희네빈대떡,46,3,5000,2023-10-16,Monday,전류,더움,0,가을
원조순희네빈대떡,118,17,5000,2023-10-17,Tuesday,전류,맑음,0,가을
원조순희네빈대떡,263,18,5000,2023-10-18,Wednesday,전류,더움,0,가을
원조순희네빈대떡,16,3,5000,2023-10-19,Thursday,전류,비,0,가을
원조순희네빈대떡,146,27,5000,2023-10-20,Friday,전류,흐림,0,가을
원조순희네빈대떡,62,12,5000,2023-10-21,Saturday,전류,눈,1,가을
원조순희네빈대떡,165,27,5000,2023-10-22,Sunday,전류,맑음,1,가을
원조순희네빈대떡,145,22,5000,2023-10-23,Monday,전류,비,0,가을
원조순희네빈대떡,421,30,5000,2023-10-24,Tuesday,전류,비,0,가을
원조순희네빈대떡,153,16,5000,2023-10-25,Wednesday,전류,더움,0,가을
원조순희네빈대떡,13,2,5000,2023-10-26,Thursday,전류,흐림,0,가을
원조순희네빈대떡,59,10,5000,2023-10-27,Friday,전류,눈,0,가을
원조순희네빈대떡,115,18,5000,2023-10-28,Saturday,전류,흐림,1,가을
원조순희네빈대떡,82,12,5000,2023-10-29,Sunday,전류,흐림,1,가을
원조순희네빈대떡,31,6,5000,2023-10-30,Monday,전류,눈,0,가을
원조순희네빈대떡,148,21,5000,2023-10-31,Tuesday,전류,맑음,0,가을
원조순희네빈대떡,195,29,5000,2023-11-01,Wednesday,전류,더움,0,가을
원조순희네빈대떡,370,25,5000,2023-11-02,Thursday,전류,눈,0,가을
원조순희네빈대떡,45,7,5000,2023-11-03,Friday,전류,눈,0,가을
원조순희네빈대떡,52,8,5000,2023-11-04,Saturday,전류,비,1,가을
원조순희네빈대떡,17,3,5000,2023-11-05,Sunday,전류,더움,1,가을
원조순희네빈대떡,302,24,5000,2023-11-06,Monday,전류,비,0,가을
원조순희네빈대떡,67,5,5000,2023-11-07,Tuesday,전류,눈,0,가을
원조순희네빈대떡,97,10,5000,2023-11-08,Wednesday,전류,비,0,가을
원조순희네빈대떡,231,21,5000,2023-11-09,Thursday,전류,맑음,0,가을
원조순희네빈대떡,157,20,5000,2023-11-10,Friday,전류,흐림,0,가을
원조순희네빈대떡,219,22,5000,2023-11-11,Saturday,전류,비,1,가을
원조순희네빈대떡,540,28,5000,2023-11-12,Sunday,전류,비,1,가을
원조순희네빈대떡,429,23,5000,2023-11-13,Monday,전류,흐림,0,가을
원조순희네빈대떡,49,9,5000,2023-11-14,Tuesday,전류,비,0,가을
원조순희네빈대떡,315,22,5000,2023-11-15,Wednesday,전류,흐림,0,가을
원조순희네빈대떡,85,9,5000,2023-11-16,Thursday,전류,눈,0,가을
원조순희네빈대떡,20,4,5000,2023-11-17,Friday,전류,비,0,가을
원조순희네빈대떡,202,22,5000,2023-11-18,Saturday,전류,비,1,가을
원조순희네빈대떡,52,7,5000,2023-11-19,Sunday,전류,비,1,가을
원조순희네빈대떡,82,9,5000,2023-11-20,Monday,전류,더움,0,가을
원조순희네빈대떡,85,15,5000,2023-11-21,Tuesday,전류,더움,0,가을
원조순희네빈대떡,155,29,5000,2023-11-22,Wednesday,전류,비,0,가을
원조순희네빈대떡,62,12,5000,2023-11-23,Thursday,전류,더움,0,가을
원조순희네빈대떡,134,10,5000,2023-11-24,Friday,전류,눈,0,가을
원조순희네빈대떡,252,17,5000,2023-11-25,Saturday,전류,맑음,1,가을
원조순희네빈대떡,13,1,5000,2023-11-26,Sunday,전류,비,1,가을
원조순희네빈대떡,204,27,5000,2023-11-27,Monday,전류,눈,0,가을
원조순희네빈대떡,91,13,5000,2023-11-28,Tuesday,전류,더움,0,가을
원조순희네빈대떡,119,14,5000,2023-11-29,Wednesday,전류,맑음,0,가을
원조순희네빈대떡,55,6,5000,2023-11-30,Thursday,전류,맑음,0,가을
원조순희네빈대떡,99,8,5000,2023-12-01,Friday,전류,비,0,겨울
원조순희네빈대떡,137,27,5000,2023-12-02,Saturday,전류,더움,1,겨울
